,loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,total_assets,inc_loan
481,482,0,Graduate, Yes,5300000,15000000,2,900,1700000,2100000,21000000,5800000,Approved,30600000,0.35333333333333333
482,483,4,Graduate, No,8300000,24900000,16,506,15400000,5600000,26700000,7000000,Rejected,54700000,0.3333333333333333
483,484,3,Not Graduate, Yes,2500000,8800000,12,538,4900000,1800000,9100000,3300000,Rejected,19100000,0.2840909090909091
484,485,3,Graduate, Yes,5400000,14400000,8,677,11000000,7900000,20800000,3100000,Approved,42800000,0.375
485,486,4,Graduate, No,1600000,4900000,8,685,3200000,2000000,3800000,1500000,Approved,10500000,0.32653061224489793
486,487,2,Not Graduate, No,2400000,6200000,12,860,4900000,3700000,9500000,1100000,Approved,19200000,0.3870967741935484
487,488,5,Not Graduate, No,6300000,14800000,6,608,16100000,10500000,21800000,5400000,Approved,53800000,0.42567567567567566
488,489,4,Graduate, Yes,2500000,5300000,10,540,2300000,2800000,7100000,1700000,Rejected,13900000,0.4716981132075472
489,490,0,Graduate, Yes,7500000,16800000,16,492,21500000,4800000,25400000,11100000,Rejected,62800000,0.44642857142857145
490,491,3,Not Graduate, No,2900000,8500000,14,834,1200000,4500000,8800000,1800000,Approved,16300000,0.3411764705882353
491,492,3,Graduate, Yes,1000000,3500000,16,834,800000,1700000,3000000,700000,Approved,6200000,0.2857142857142857
492,493,2,Graduate, Yes,8600000,28800000,8,890,23300000,5900000,21200000,7200000,Approved,57600000,0.2986111111111111
493,494,1,Not Graduate, No,300000,1100000,12,443,600000,400000,1200000,200000,Rejected,2400000,0.2727272727272727
494,495,5,Not Graduate, No,2300000,5700000,18,329,5600000,3300000,4900000,2700000,Rejected,16500000,0.40350877192982454
495,496,2,Not Graduate, Yes,2400000,5400000,12,739,300000,2500000,5000000,3000000,Approved,10800000,0.4444444444444444
496,497,5,Graduate, Yes,9800000,30300000,6,867,20800000,16000000,30200000,7600000,Approved,74600000,0.3234323432343234
497,498,2,Not Graduate, No,8100000,24800000,6,307,200000,4000000,31100000,10500000,Rejected,45800000,0.32661290322580644
498,499,3,Graduate, No,6700000,15500000,18,492,2100000,2000000,26300000,9400000,Rejected,39800000,0.432258064516129
499,500,1,Not Graduate, Yes,8400000,24700000,18,698,23000000,13200000,32700000,12200000,Approved,81100000,0.340080971659919
500,501,2,Graduate, No,200000,700000,8,851,400000,200000,800000,200000,Approved,1600000,0.2857142857142857
501,502,2,Graduate, No,4700000,12500000,14,375,1300000,6300000,10100000,5400000,Rejected,23100000,0.376
502,503,0,Graduate, Yes,4300000,14300000,14,601,3800000,900000,16700000,5700000,Approved,27100000,0.3006993006993007
503,504,4,Not Graduate, No,2200000,7000000,20,756,3600000,3900000,5700000,1200000,Approved,14400000,0.3142857142857143
504,505,4,Graduate, Yes,8600000,19200000,4,868,20400000,1500000,32800000,9300000,Approved,64000000,0.4479166666666667
505,506,4,Graduate, Yes,2000000,7200000,10,838,2500000,300000,7600000,1000000,Approved,11400000,0.2777777777777778
506,507,4,Not Graduate, Yes,4200000,15900000,14,375,7200000,7900000,16200000,3000000,Rejected,34300000,0.2641509433962264
507,508,0,Not Graduate, Yes,5100000,12500000,18,778,3300000,1000000,14800000,3200000,Approved,22300000,0.408
508,509,2,Graduate, Yes,4100000,11200000,6,442,12200000,4100000,10000000,4500000,Rejected,30800000,0.36607142857142855
509,510,1,Graduate, Yes,9900000,39500000,12,808,11800000,3700000,30200000,13500000,Approved,59200000,0.25063291139240507
510,511,1,Not Graduate, Yes,3200000,9000000,20,372,2700000,2800000,7200000,3800000,Rejected,16500000,0.35555555555555557
511,512,2,Graduate, No,5500000,19000000,4,597,1100000,4000000,18700000,5300000,Approved,29100000,0.2894736842105263
512,513,0,Graduate, Yes,7800000,29100000,20,435,21100000,13000000,17300000,9700000,Rejected,61100000,0.26804123711340205
513,514,3,Graduate, Yes,3400000,9700000,20,728,1500000,1500000,7300000,2400000,Approved,12700000,0.35051546391752575
514,515,4,Graduate, Yes,7900000,25900000,14,373,10900000,14300000,27700000,7600000,Rejected,60500000,0.305019305019305
515,516,3,Graduate, Yes,8900000,18500000,10,367,6100000,0,32000000,10300000,Rejected,48400000,0.4810810810810811
516,517,2,Graduate, No,7300000,19100000,14,552,2000000,13400000,16800000,4000000,Approved,36200000,0.38219895287958117
517,518,4,Not Graduate, Yes,3300000,10600000,8,465,500000,4400000,7300000,2800000,Rejected,15000000,0.3113207547169811
518,519,4,Graduate, Yes,2900000,10500000,8,607,4400000,5500000,7600000,3800000,Approved,21300000,0.2761904761904762
519,520,2,Graduate, Yes,500000,1300000,4,427,1400000,500000,1800000,600000,Rejected,4300000,0.38461538461538464
520,521,3,Not Graduate, No,7200000,21200000,4,711,10800000,4200000,24900000,5700000,Approved,45600000,0.33962264150943394
521,522,3,Not Graduate, No,8300000,24100000,14,823,5900000,700000,24000000,7700000,Approved,38300000,0.34439834024896265
522,523,1,Not Graduate, Yes,8700000,20500000,6,523,19300000,6500000,23700000,4800000,Rejected,54300000,0.424390243902439
523,524,4,Not Graduate, Yes,7100000,27900000,10,328,9000000,13400000,26500000,7700000,Rejected,56600000,0.25448028673835127
524,525,3,Graduate, Yes,9800000,28200000,12,721,15800000,6500000,21900000,9600000,Approved,53800000,0.3475177304964539
525,526,0,Graduate, Yes,6900000,17000000,20,599,18100000,9400000,26600000,4300000,Approved,58400000,0.40588235294117647
526,527,0,Not Graduate, No,2400000,5000000,14,580,5900000,4400000,5500000,3200000,Approved,19000000,0.48
527,528,1,Not Graduate, Yes,2100000,4900000,10,744,200000,2000000,5400000,1000000,Approved,8600000,0.42857142857142855
528,529,2,Graduate, Yes,7200000,23900000,4,559,4200000,12200000,17800000,10800000,Approved,45000000,0.301255230125523
529,530,2,Graduate, No,4600000,13500000,16,587,7700000,5900000,10600000,5000000,Approved,29200000,0.34074074074074073
530,531,5,Graduate, Yes,9900000,31800000,18,817,23400000,700000,32600000,11500000,Approved,68200000,0.3113207547169811
531,532,4,Not Graduate, Yes,300000,1000000,20,655,0,100000,1100000,400000,Approved,1600000,0.3
532,533,5,Graduate, Yes,6900000,23900000,6,382,17100000,6900000,21500000,8900000,Rejected,54400000,0.28870292887029286
533,534,2,Graduate, Yes,1700000,4300000,6,765,5000000,1500000,3400000,900000,Approved,10800000,0.3953488372093023
534,535,2,Graduate, Yes,4400000,10000000,20,516,7400000,7600000,12200000,5100000,Rejected,32300000,0.44
535,536,4,Not Graduate, Yes,4300000,15000000,8,383,4700000,100000,9000000,4900000,Rejected,18700000,0.2866666666666667
536,537,2,Not Graduate, No,3700000,14100000,6,633,800000,200000,11300000,3400000,Approved,15700000,0.2624113475177305
537,538,1,Graduate, No,5900000,15200000,2,547,17100000,2000000,14700000,3600000,Rejected,37400000,0.3881578947368421
538,539,5,Not Graduate, Yes,8600000,26300000,10,843,23300000,9800000,18100000,11300000,Approved,62500000,0.3269961977186312
539,540,3,Not Graduate, Yes,3400000,13200000,8,783,6500000,300000,13000000,4900000,Approved,24700000,0.25757575757575757
540,541,3,Not Graduate, Yes,1000000,3200000,14,790,1900000,100000,3600000,1100000,Approved,6700000,0.3125
541,542,1,Not Graduate, Yes,4400000,14200000,16,409,12700000,1300000,12600000,4500000,Rejected,31100000,0.30985915492957744
542,543,0,Not Graduate, No,3600000,7800000,14,376,9800000,6900000,11900000,3000000,Rejected,31600000,0.46153846153846156
543,544,3,Not Graduate, No,1400000,2700000,8,625,3100000,1800000,3400000,1000000,Approved,9300000,0.5185185185185185
544,545,0,Not Graduate, No,5300000,10900000,18,707,12900000,2600000,12700000,7600000,Approved,35800000,0.48623853211009177
545,546,3,Graduate, Yes,9400000,20500000,6,645,17400000,13000000,24500000,10200000,Approved,65100000,0.4585365853658537
546,547,4,Not Graduate, Yes,6600000,22100000,6,887,3600000,3500000,19800000,4700000,Approved,31600000,0.2986425339366516
547,548,5,Graduate, No,9800000,37600000,18,319,19200000,5100000,19900000,5100000,Rejected,49300000,0.26063829787234044
548,549,1,Not Graduate, No,1900000,4900000,20,647,4100000,2100000,6800000,1700000,Approved,14700000,0.3877551020408163
549,550,2,Not Graduate, Yes,5800000,22500000,6,888,11900000,2600000,17100000,4800000,Approved,36400000,0.2577777777777778
550,551,2,Not Graduate, No,3100000,10400000,10,420,6900000,5900000,10000000,3500000,Rejected,26300000,0.2980769230769231
551,552,0,Graduate, No,6800000,18400000,2,791,4000000,900000,20200000,9900000,Approved,35000000,0.3695652173913043
552,553,5,Not Graduate, No,4600000,16200000,12,891,5900000,1200000,10800000,3700000,Approved,21600000,0.2839506172839506
553,554,2,Not Graduate, Yes,200000,700000,16,641,600000,200000,600000,100000,Approved,1500000,0.2857142857142857
554,555,3,Not Graduate, Yes,9500000,22800000,6,319,200000,18800000,34100000,9400000,Rejected,62500000,0.4166666666666667
555,556,5,Not Graduate, Yes,6200000,22200000,20,819,13500000,6600000,21700000,8700000,Approved,50500000,0.27927927927927926
556,557,4,Not Graduate, Yes,9700000,32300000,18,387,11600000,14300000,20000000,5400000,Rejected,51300000,0.30030959752321984
557,558,5,Graduate, Yes,4200000,12300000,2,686,10500000,200000,15600000,4200000,Approved,30500000,0.34146341463414637
558,559,1,Graduate, Yes,5700000,12000000,4,415,15700000,900000,17300000,7400000,Rejected,41300000,0.475
559,560,2,Graduate, Yes,200000,500000,6,885,-100000,0,300000,200000,Rejected,400000,0.4
560,561,4,Graduate, No,8000000,25500000,4,722,17200000,13900000,26200000,4900000,Approved,62200000,0.3137254901960784
561,562,4,Graduate, No,5200000,20400000,20,761,4700000,1600000,14300000,6200000,Approved,26800000,0.2549019607843137
562,563,1,Graduate, Yes,7100000,15200000,8,389,5900000,900000,24300000,5900000,Rejected,37000000,0.46710526315789475
563,564,1,Graduate, Yes,9300000,27900000,12,600,2100000,4200000,29000000,6600000,Approved,41900000,0.3333333333333333
564,565,5,Graduate, No,2000000,6100000,2,407,1900000,1900000,4600000,2000000,Approved,10400000,0.32786885245901637
565,566,3,Graduate, Yes,3900000,14000000,18,829,5200000,4000000,11600000,2700000,Approved,23500000,0.2785714285714286
566,567,2,Not Graduate, No,2800000,5900000,6,895,1000000,3900000,10900000,1500000,Approved,17300000,0.4745762711864407
567,568,5,Graduate, Yes,3000000,11100000,12,441,8500000,2500000,7300000,2000000,Rejected,20300000,0.2702702702702703
568,569,4,Not Graduate, No,4500000,9800000,16,895,9800000,8200000,13900000,5500000,Approved,37400000,0.45918367346938777
569,570,4,Graduate, No,1900000,4300000,4,826,2400000,0,7000000,900000,Approved,10300000,0.4418604651162791
570,571,1,Graduate, No,2300000,7200000,8,453,3000000,2100000,8100000,3400000,Rejected,16600000,0.3194444444444444
571,572,0,Graduate, No,4700000,17500000,2,701,5400000,2300000,11700000,7000000,Approved,26400000,0.26857142857142857
572,573,2,Not Graduate, Yes,1300000,2700000,8,627,100000,300000,2600000,1300000,Approved,4300000,0.48148148148148145
573,574,3,Graduate, No,3100000,11000000,2,543,5900000,2200000,9000000,2400000,Approved,19500000,0.2818181818181818
574,575,0,Graduate, No,8400000,17500000,18,411,13200000,5300000,31300000,10400000,Rejected,60200000,0.48
575,576,5,Graduate, Yes,1700000,5800000,4,583,2000000,1800000,6000000,2300000,Approved,12100000,0.29310344827586204
576,577,2,Not Graduate, No,1900000,7500000,2,889,600000,1100000,7100000,2600000,Approved,11400000,0.25333333333333335
577,578,3,Not Graduate, No,2400000,8600000,8,684,3400000,2400000,6200000,1600000,Approved,13600000,0.27906976744186046
578,579,5,Graduate, No,6800000,20500000,10,578,500000,11800000,27200000,3400000,Approved,42900000,0.33170731707317075
579,580,1,Graduate, No,2900000,10900000,20,445,6600000,2800000,9300000,2600000,Rejected,21300000,0.26605504587155965
580,581,4,Graduate, Yes,8900000,26300000,10,369,23900000,7000000,27400000,12100000,Rejected,70400000,0.33840304182509506
581,582,1,Not Graduate, No,8800000,22200000,18,794,8400000,11900000,21000000,10500000,Approved,51800000,0.3963963963963964
582,583,0,Graduate, Yes,8200000,19200000,16,492,16500000,9200000,20000000,7200000,Rejected,52900000,0.4270833333333333
583,584,3,Not Graduate, Yes,3600000,13200000,16,557,9800000,4000000,9900000,2100000,Approved,25800000,0.2727272727272727
584,585,4,Graduate, Yes,9500000,31800000,6,519,5900000,1300000,28400000,12200000,Rejected,47800000,0.29874213836477986
585,586,0,Not Graduate, Yes,1900000,5700000,18,699,5500000,200000,6500000,2000000,Approved,14200000,0.3333333333333333
586,587,3,Not Graduate, Yes,9100000,24600000,2,741,8000000,4000000,35500000,13600000,Approved,61100000,0.3699186991869919
587,588,5,Graduate, No,1100000,3800000,18,508,200000,1800000,2300000,900000,Rejected,5200000,0.2894736842105263
588,589,5,Not Graduate, Yes,1100000,2800000,10,647,2700000,2000000,4300000,1400000,Approved,10400000,0.39285714285714285
589,590,1,Graduate, No,9300000,28600000,14,656,17300000,9100000,27400000,12500000,Approved,66300000,0.32517482517482516
590,591,4,Graduate, Yes,3900000,10600000,2,439,300000,7600000,14800000,2500000,Rejected,25200000,0.36792452830188677
591,592,5,Not Graduate, Yes,1500000,4000000,12,350,2900000,1900000,4400000,1200000,Rejected,10400000,0.375
592,593,5,Graduate, No,800000,2200000,6,493,900000,500000,2800000,1000000,Rejected,5200000,0.36363636363636365
593,594,4,Graduate, No,600000,1800000,6,851,100000,1100000,2100000,800000,Approved,4100000,0.3333333333333333
594,595,2,Graduate, No,4400000,12500000,18,492,7900000,1200000,10100000,2700000,Rejected,21900000,0.352
595,596,4,Graduate, Yes,2700000,5400000,6,861,6300000,2400000,6700000,2700000,Approved,18100000,0.5
596,597,3,Not Graduate, Yes,6200000,14600000,2,664,18300000,8400000,16800000,6600000,Approved,50100000,0.4246575342465753
597,598,5,Graduate, Yes,700000,1300000,16,362,2100000,1300000,2000000,1000000,Rejected,6400000,0.5384615384615384
598,599,0,Graduate, No,3400000,9400000,6,703,600000,6000000,8600000,2600000,Approved,17800000,0.3617021276595745
599,600,1,Not Graduate, Yes,4900000,16800000,12,758,1700000,2700000,11100000,5900000,Approved,21400000,0.2916666666666667
600,601,3,Not Graduate, Yes,4200000,9700000,2,396,700000,8200000,8600000,4300000,Rejected,21800000,0.4329896907216495
601,602,0,Graduate, Yes,5300000,10600000,2,828,8100000,6700000,17400000,5800000,Approved,38000000,0.5
602,603,5,Graduate, Yes,3700000,10000000,20,709,8000000,800000,12000000,2200000,Approved,23000000,0.37
603,604,4,Not Graduate, Yes,5600000,17500000,10,528,14200000,2300000,12100000,7200000,Rejected,35800000,0.32
604,605,2,Graduate, Yes,4300000,16000000,14,623,9800000,6700000,17000000,4500000,Approved,38000000,0.26875
605,606,4,Not Graduate, Yes,7100000,24500000,14,599,9100000,7000000,20400000,6800000,Approved,43300000,0.2897959183673469
606,607,4,Graduate, Yes,5400000,12700000,4,622,11000000,3300000,15100000,6500000,Approved,35900000,0.4251968503937008
607,608,0,Not Graduate, No,6000000,13100000,6,385,16600000,7600000,22000000,7400000,Rejected,53600000,0.4580152671755725
608,609,4,Graduate, Yes,4100000,12500000,2,579,10900000,7200000,12200000,2000000,Approved,32300000,0.328
609,610,4,Not Graduate, No,8300000,17900000,20,846,12700000,1300000,26800000,12200000,Approved,53000000,0.46368715083798884
610,611,3,Graduate, No,8100000,23900000,10,449,7100000,6100000,28300000,8900000,Rejected,50400000,0.3389121338912134
611,612,1,Not Graduate, No,7200000,24900000,14,666,3600000,11600000,16600000,5800000,Approved,37600000,0.2891566265060241
612,613,5,Graduate, No,7200000,17500000,4,380,2300000,400000,17500000,6200000,Rejected,26400000,0.4114285714285714
613,614,2,Graduate, Yes,3500000,8100000,4,589,3800000,6700000,12500000,2700000,Approved,25700000,0.43209876543209874
614,615,1,Graduate, No,6200000,19500000,12,845,9100000,2900000,15300000,4000000,Approved,31300000,0.31794871794871793
615,616,3,Not Graduate, No,5200000,17300000,10,401,2600000,1400000,12700000,6400000,Rejected,23100000,0.30057803468208094
616,617,0,Not Graduate, No,4500000,14500000,2,766,6100000,8400000,17200000,6600000,Approved,38300000,0.3103448275862069
617,618,5,Not Graduate, No,5400000,15100000,12,522,5200000,4700000,13900000,5700000,Rejected,29500000,0.3576158940397351
618,619,3,Not Graduate, Yes,2000000,6900000,6,834,2200000,2800000,6400000,3000000,Approved,14400000,0.2898550724637681
619,620,3,Graduate, No,8900000,25400000,8,588,19400000,12100000,18800000,4500000,Approved,54800000,0.35039370078740156
620,621,2,Graduate, No,5000000,10600000,4,570,11900000,900000,14800000,7100000,Approved,34700000,0.4716981132075472
621,622,2,Graduate, No,4900000,17600000,6,860,13600000,7500000,12700000,5600000,Approved,39400000,0.2784090909090909
622,623,4,Graduate, Yes,5300000,19200000,4,655,14200000,6900000,17800000,3900000,Approved,42800000,0.2760416666666667
623,624,3,Not Graduate, Yes,8500000,27700000,4,457,3600000,400000,18900000,5200000,Approved,28100000,0.30685920577617326
624,625,5,Graduate, Yes,700000,2100000,14,863,100000,1200000,2700000,600000,Approved,4600000,0.3333333333333333
625,626,3,Not Graduate, Yes,5900000,18900000,4,742,10800000,4500000,23200000,8000000,Approved,46500000,0.31216931216931215
626,627,3,Graduate, No,3500000,13300000,4,798,7400000,5300000,12100000,3600000,Approved,28400000,0.2631578947368421
627,628,5,Not Graduate, Yes,7700000,18900000,16,552,15600000,6100000,23900000,6600000,Approved,52200000,0.4074074074074074
628,629,2,Not Graduate, Yes,4500000,12500000,12,418,400000,4300000,12400000,4300000,Rejected,21400000,0.36
629,630,0,Graduate, No,9100000,22200000,6,419,7400000,600000,18200000,9800000,Rejected,36000000,0.4099099099099099
630,631,1,Not Graduate, Yes,9000000,29900000,2,668,22100000,7200000,24400000,4700000,Approved,58400000,0.3010033444816054
631,632,2,Not Graduate, No,8900000,29200000,8,608,10800000,5200000,33500000,11700000,Approved,61200000,0.3047945205479452
632,633,5,Not Graduate, No,6500000,13800000,10,342,15300000,2300000,14400000,7300000,Rejected,39300000,0.47101449275362317
633,634,4,Not Graduate, Yes,8100000,18000000,8,817,1400000,7800000,16900000,10800000,Approved,36900000,0.45
634,635,1,Not Graduate, No,8400000,29900000,16,476,16100000,2400000,32700000,7500000,Rejected,58700000,0.2809364548494983
635,636,0,Not Graduate, No,5300000,20000000,6,881,15900000,3700000,19500000,4000000,Approved,43100000,0.265
636,637,2,Graduate, No,4100000,15600000,12,838,5500000,4800000,15100000,2700000,Approved,28100000,0.26282051282051283
637,638,3,Not Graduate, No,6900000,27400000,4,406,10200000,6500000,23900000,5300000,Approved,45900000,0.2518248175182482
638,639,1,Graduate, Yes,5200000,19500000,12,778,5200000,4300000,19900000,5800000,Approved,35200000,0.26666666666666666
639,640,5,Not Graduate, Yes,2000000,7400000,14,799,3600000,3700000,4300000,1100000,Approved,12700000,0.2702702702702703
640,641,3,Graduate, No,4600000,17800000,20,716,12600000,2600000,10800000,4500000,Approved,30500000,0.25842696629213485
641,642,0,Graduate, Yes,7100000,20100000,16,756,8000000,5000000,17600000,5400000,Approved,36000000,0.35323383084577115
642,643,0,Not Graduate, No,9300000,20100000,10,743,4800000,1800000,21900000,13600000,Approved,42100000,0.4626865671641791
643,644,3,Not Graduate, No,5400000,19400000,20,731,13800000,3200000,20000000,4300000,Approved,41300000,0.27835051546391754
644,645,3,Not Graduate, No,4100000,8500000,2,833,12000000,0,16200000,3400000,Approved,31600000,0.4823529411764706
645,646,4,Not Graduate, No,4900000,11400000,8,470,12000000,7500000,14700000,4800000,Rejected,39000000,0.4298245614035088
646,647,5,Graduate, Yes,5400000,21200000,20,734,7300000,1800000,11500000,7500000,Approved,28100000,0.25471698113207547
647,648,0,Graduate, No,3000000,9600000,12,620,7900000,0,8600000,3600000,Approved,20100000,0.3125
648,649,0,Not Graduate, Yes,6800000,14400000,8,812,15200000,4500000,21100000,6400000,Approved,47200000,0.4722222222222222
649,650,4,Graduate, Yes,5100000,14000000,12,459,9800000,0,10400000,6800000,Rejected,27000000,0.36428571428571427
650,651,0,Graduate, Yes,9800000,32600000,10,704,7000000,12100000,30000000,4900000,Approved,54000000,0.3006134969325153
651,652,1,Graduate, Yes,1600000,4100000,6,391,4300000,1400000,5700000,700000,Rejected,12100000,0.3902439024390244
652,653,4,Graduate, No,8000000,29100000,4,421,3100000,12000000,27000000,8800000,Approved,50900000,0.27491408934707906
653,654,5,Graduate, No,2900000,6700000,14,796,3800000,3700000,9700000,4200000,Approved,21400000,0.43283582089552236
654,655,4,Graduate, No,9200000,30300000,10,607,24000000,16600000,29600000,8900000,Approved,79100000,0.30363036303630364
655,656,3,Not Graduate, No,9500000,20400000,14,376,2300000,6600000,25900000,8400000,Rejected,43200000,0.46568627450980393
656,657,0,Graduate, Yes,3700000,8500000,8,424,1900000,5600000,14800000,4100000,Rejected,26400000,0.43529411764705883
657,658,5,Graduate, Yes,7100000,20800000,6,442,2900000,7100000,28200000,7100000,Rejected,45300000,0.34134615384615385
658,659,5,Not Graduate, No,5600000,17600000,14,448,6700000,3500000,18900000,6800000,Rejected,35900000,0.3181818181818182
659,660,0,Graduate, Yes,1200000,2700000,2,638,1500000,500000,2700000,1500000,Approved,6200000,0.4444444444444444
660,661,3,Not Graduate, No,1600000,5600000,6,710,3100000,800000,6000000,1600000,Approved,11500000,0.2857142857142857
661,662,4,Not Graduate, Yes,1600000,4800000,20,641,4200000,1000000,4100000,1400000,Approved,10700000,0.3333333333333333
662,663,2,Not Graduate, No,5300000,20200000,10,348,9200000,9500000,17300000,6100000,Rejected,42100000,0.2623762376237624
663,664,5,Not Graduate, No,9100000,19900000,20,519,9300000,16400000,28900000,10500000,Rejected,65100000,0.457286432160804
664,665,4,Not Graduate, Yes,9400000,35000000,10,517,10700000,15100000,27500000,6700000,Rejected,60000000,0.26857142857142857
665,666,3,Not Graduate, No,5900000,22400000,6,375,6500000,10500000,18100000,4800000,Rejected,39900000,0.26339285714285715
666,667,2,Graduate, Yes,1100000,3400000,10,426,300000,800000,3900000,1400000,Rejected,6400000,0.3235294117647059
667,668,4,Graduate, Yes,3100000,11500000,14,785,3200000,3100000,9100000,4200000,Approved,19600000,0.26956521739130435
668,669,4,Not Graduate, No,2200000,8600000,20,373,4100000,1300000,5900000,1400000,Rejected,12700000,0.2558139534883721
669,670,1,Graduate, No,6000000,20100000,6,476,13900000,10000000,15200000,5500000,Rejected,44600000,0.29850746268656714
670,671,1,Graduate, Yes,2000000,5600000,18,320,2400000,2300000,4600000,2100000,Rejected,11400000,0.35714285714285715
671,672,4,Graduate, No,7200000,22900000,18,657,14600000,400000,17400000,8800000,Approved,41200000,0.314410480349345
672,673,1,Not Graduate, Yes,500000,1900000,12,868,200000,500000,1800000,300000,Approved,2800000,0.2631578947368421
673,674,1,Not Graduate, Yes,5800000,13900000,6,345,4000000,9300000,20900000,5500000,Rejected,39700000,0.4172661870503597
674,675,0,Not Graduate, No,200000,300000,6,472,400000,100000,700000,0,Rejected,1200000,0.6666666666666666
675,676,4,Not Graduate, Yes,4600000,9500000,20,613,5200000,5900000,13700000,3000000,Approved,27800000,0.4842105263157895
676,677,5,Not Graduate, Yes,4600000,12800000,14,769,13100000,8600000,12100000,3500000,Approved,37300000,0.359375
677,678,1,Graduate, No,6500000,23100000,20,741,11400000,8500000,25700000,7900000,Approved,53500000,0.2813852813852814
678,679,4,Not Graduate, Yes,4400000,16600000,14,889,800000,1400000,14900000,5900000,Approved,23000000,0.26506024096385544
679,680,0,Not Graduate, Yes,900000,3600000,10,683,1400000,700000,3500000,400000,Approved,6000000,0.25
680,681,0,Not Graduate, Yes,3200000,7400000,18,780,4200000,2600000,9000000,2800000,Approved,18600000,0.43243243243243246
681,682,3,Graduate, No,600000,1100000,8,538,500000,800000,1400000,300000,Rejected,3000000,0.5454545454545454
682,683,1,Not Graduate, No,5200000,12600000,10,721,1100000,8700000,13900000,3600000,Approved,27300000,0.4126984126984127
683,684,3,Not Graduate, Yes,6400000,15200000,14,467,15500000,9100000,18400000,3200000,Rejected,46200000,0.42105263157894735
684,685,2,Not Graduate, No,1000000,2500000,6,551,1700000,200000,3700000,900000,Approved,6500000,0.4
685,686,2,Not Graduate, No,6800000,14800000,14,803,11300000,3300000,19600000,6600000,Approved,40800000,0.4594594594594595
686,687,0,Graduate, No,3000000,8400000,10,361,7700000,200000,7300000,1800000,Rejected,17000000,0.35714285714285715
687,688,1,Not Graduate, Yes,8700000,30700000,6,708,20600000,4500000,27600000,9300000,Approved,62000000,0.28338762214983715
688,689,4,Graduate, Yes,8800000,20900000,18,766,13500000,15400000,34500000,13100000,Approved,76500000,0.42105263157894735
689,690,1,Not Graduate, Yes,3900000,11500000,2,464,9300000,5700000,12400000,5100000,Rejected,32500000,0.3391304347826087
690,691,5,Graduate, No,1700000,4300000,2,517,100000,200000,6200000,1600000,Rejected,8100000,0.3953488372093023
691,692,3,Not Graduate, Yes,900000,2300000,6,747,1200000,200000,2900000,600000,Approved,4900000,0.391304347826087
692,693,1,Not Graduate, No,7200000,24700000,6,596,8800000,1400000,21700000,5800000,Approved,37700000,0.291497975708502
693,694,0,Graduate, No,9200000,25400000,2,783,25400000,2000000,19600000,12400000,Approved,59400000,0.36220472440944884
694,695,3,Not Graduate, No,5700000,19400000,2,335,7400000,10600000,20600000,7100000,Approved,45700000,0.29381443298969073
695,696,5,Not Graduate, Yes,1100000,2700000,4,889,1900000,1000000,2200000,500000,Approved,5600000,0.4074074074074074
696,697,2,Not Graduate, Yes,1100000,2200000,4,874,1900000,1300000,2100000,900000,Approved,6200000,0.5
697,698,0,Graduate, Yes,6000000,23900000,4,394,6700000,5800000,21900000,4500000,Approved,38900000,0.2510460251046025
698,699,2,Graduate, Yes,8100000,28500000,20,420,1500000,1400000,31800000,10000000,Rejected,44700000,0.28421052631578947
699,700,2,Not Graduate, Yes,6500000,25100000,20,848,11500000,8600000,17400000,4400000,Approved,41900000,0.2589641434262948
700,701,0,Graduate, Yes,7600000,17900000,16,788,1700000,7800000,27100000,5900000,Approved,42500000,0.4245810055865922
701,702,1,Graduate, No,2200000,4900000,8,509,3800000,0,5400000,2900000,Rejected,12100000,0.4489795918367347
702,703,4,Graduate, Yes,6300000,23900000,6,899,-100000,11400000,20600000,6700000,Approved,38600000,0.26359832635983266
703,704,4,Not Graduate, Yes,6700000,15800000,12,466,7500000,4600000,19900000,6600000,Rejected,38600000,0.4240506329113924
704,705,5,Graduate, Yes,1300000,4300000,2,595,1300000,500000,2900000,1500000,Approved,6200000,0.3023255813953488
705,706,1,Not Graduate, No,2800000,6700000,12,322,1900000,2000000,8600000,2100000,Rejected,14600000,0.417910447761194
706,707,3,Graduate, No,7000000,18900000,2,691,6300000,7400000,15200000,3900000,Approved,32800000,0.37037037037037035
707,708,3,Not Graduate, Yes,8800000,26700000,10,379,10100000,15500000,27000000,9700000,Rejected,62300000,0.3295880149812734
708,709,0,Graduate, No,8900000,25800000,18,531,12400000,3400000,22900000,5400000,Rejected,44100000,0.3449612403100775
709,710,5,Not Graduate, No,7000000,21800000,4,631,8100000,7100000,14600000,10000000,Approved,39800000,0.3211009174311927
710,711,0,Graduate, Yes,6900000,18600000,10,330,19600000,9400000,16400000,4500000,Rejected,49900000,0.3709677419354839
711,712,5,Graduate, No,9200000,29200000,16,383,17700000,13300000,30400000,5700000,Rejected,67100000,0.3150684931506849
712,713,0,Graduate, Yes,6100000,19700000,16,678,13700000,2300000,19300000,5500000,Approved,40800000,0.3096446700507614
713,714,1,Graduate, Yes,4400000,14700000,8,894,11400000,6300000,9400000,2400000,Approved,29500000,0.29931972789115646
714,715,4,Not Graduate, No,9900000,22700000,12,567,28300000,9900000,29700000,5400000,Approved,73300000,0.43612334801762115
