,Unnamed: 0.1,Unnamed: 0,loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,total_assets,inc_loan,cibil_bucket,asset_bucket,term_bucket
846,846,846,847,5,Graduate, No,7000000,23000000,18,803,18700000,6300000,27800000,4100000,Approved,56900000,0.3043478260869565,800-900,250L-10C,15-20
847,847,847,848,2,Graduate, No,7700000,15400000,18,524,12900000,5100000,21000000,6600000,Rejected,45600000,0.5,500-599,250L-10C,15-20
848,848,848,849,1,Graduate, No,2600000,6600000,6,506,2300000,1900000,9600000,2100000,Rejected,15900000,0.3939393939393939,500-599,100L-250L,5-10
849,849,849,850,1,Graduate, No,9200000,18800000,2,351,22400000,2200000,31500000,13000000,Rejected,69100000,0.4893617021276595,300-499,250L-10C,0-5
850,850,850,851,2,Graduate, Yes,1800000,4200000,8,648,1200000,3100000,6200000,1600000,Approved,12100000,0.4285714285714285,600-699,100L-250L,5-10
851,851,851,852,1,Not Graduate, No,4900000,18500000,4,612,6100000,5900000,16400000,2900000,Approved,31300000,0.2648648648648649,600-699,250L-10C,0-5
852,852,852,853,1,Graduate, No,5700000,12400000,14,396,5400000,7500000,17600000,5600000,Rejected,36100000,0.4596774193548387,300-499,250L-10C,10-15
853,853,853,854,3,Not Graduate, No,300000,800000,2,458,500000,0,1100000,200000,Rejected,1800000,0.375,300-499,10L-50L,0-5
854,854,854,855,3,Graduate, Yes,1700000,3400000,6,488,100000,500000,4500000,1600000,Rejected,6700000,0.5,300-499,50L-100L,5-10
855,855,855,856,4,Graduate, No,7000000,18900000,6,475,1300000,6100000,14700000,5200000,Rejected,27300000,0.3703703703703703,300-499,250L-10C,5-10
856,856,856,857,1,Not Graduate, No,2200000,7000000,18,417,2000000,3900000,6500000,1900000,Rejected,14300000,0.3142857142857143,300-499,100L-250L,15-20
857,857,857,858,2,Not Graduate, No,6800000,18700000,8,781,17600000,900000,23700000,5400000,Approved,47600000,0.3636363636363636,700-799,250L-10C,5-10
858,858,858,859,1,Not Graduate, Yes,2400000,6200000,12,337,3400000,2100000,9400000,2300000,Rejected,17200000,0.3870967741935484,300-499,100L-250L,10-15
859,859,859,860,0,Not Graduate, Yes,600000,1800000,12,511,300000,200000,2200000,400000,Rejected,3100000,0.3333333333333333,500-599,10L-50L,10-15
860,860,860,861,4,Graduate, No,6200000,17300000,6,837,12600000,3700000,24700000,4600000,Approved,45600000,0.3583815028901734,800-900,250L-10C,5-10
861,861,861,862,1,Not Graduate, No,7600000,24600000,12,810,1300000,10500000,30300000,5200000,Approved,47300000,0.3089430894308943,800-900,250L-10C,10-15
862,862,862,863,2,Not Graduate, No,4800000,10600000,8,588,3700000,5200000,15000000,4500000,Approved,28400000,0.4528301886792453,500-599,250L-10C,5-10
863,863,863,864,5,Graduate, No,4200000,9200000,12,870,3200000,2400000,12300000,5700000,Approved,23600000,0.4565217391304347,800-900,100L-250L,10-15
864,864,864,865,0,Not Graduate, Yes,7200000,20700000,10,733,15600000,12000000,19200000,9900000,Approved,56700000,0.3478260869565217,700-799,250L-10C,5-10
865,865,865,866,5,Not Graduate, Yes,6400000,20300000,16,348,10000000,10900000,20400000,6900000,Rejected,48200000,0.3152709359605911,300-499,250L-10C,15-20
866,866,866,867,0,Not Graduate, Yes,8900000,23000000,12,741,5600000,11200000,27100000,7100000,Approved,51000000,0.3869565217391304,700-799,250L-10C,10-15
867,867,867,868,3,Not Graduate, No,5100000,14500000,12,306,700000,8800000,11600000,2900000,Rejected,24000000,0.3517241379310344,300-499,100L-250L,10-15
868,868,868,869,2,Graduate, Yes,6300000,19500000,18,428,15900000,7200000,19900000,6500000,Rejected,49500000,0.3230769230769231,300-499,250L-10C,15-20
869,869,869,870,3,Graduate, No,6600000,22100000,4,455,3800000,3000000,25100000,7400000,Approved,39300000,0.2986425339366516,300-499,250L-10C,0-5
870,870,870,871,1,Not Graduate, Yes,4800000,14700000,2,356,7100000,8800000,13400000,5500000,Approved,34800000,0.3265306122448979,300-499,250L-10C,0-5
871,871,871,872,0,Graduate, No,200000,400000,4,594,500000,0,400000,100000,Approved,1000000,0.5,500-599,10L-50L,0-5
872,872,872,873,0,Not Graduate, Yes,7500000,25800000,18,844,9100000,600000,18600000,6500000,Approved,34800000,0.2906976744186046,800-900,250L-10C,15-20
873,873,873,874,4,Graduate, No,9000000,34700000,4,771,4800000,9500000,34100000,7700000,Approved,56100000,0.2593659942363112,700-799,250L-10C,0-5
874,874,874,875,2,Graduate, No,5400000,12500000,4,622,14400000,2900000,11800000,5400000,Approved,34500000,0.432,600-699,250L-10C,0-5
875,875,875,876,1,Not Graduate, Yes,1700000,4500000,20,480,200000,600000,5400000,1900000,Rejected,8100000,0.3777777777777777,300-499,50L-100L,15-20
876,876,876,877,4,Graduate, No,4300000,11500000,20,337,11100000,6000000,17000000,5200000,Rejected,39300000,0.3739130434782609,300-499,250L-10C,15-20
877,877,877,878,1,Graduate, No,5200000,11200000,6,698,14100000,7600000,18800000,2700000,Approved,43200000,0.4642857142857143,600-699,250L-10C,5-10
878,878,878,879,4,Not Graduate, No,4400000,17000000,18,302,1000000,2100000,14000000,5700000,Rejected,22800000,0.2588235294117647,300-499,100L-250L,15-20
879,879,879,880,1,Not Graduate, Yes,3900000,7800000,14,349,11200000,500000,11800000,3600000,Rejected,27100000,0.5,300-499,250L-10C,10-15
880,880,880,881,0,Graduate, No,1100000,3300000,10,482,2800000,300000,2900000,1600000,Rejected,7600000,0.3333333333333333,300-499,50L-100L,5-10
881,881,881,882,2,Graduate, No,2500000,8200000,10,429,1500000,4100000,5900000,2200000,Rejected,13700000,0.3048780487804878,300-499,100L-250L,5-10
882,882,882,883,4,Graduate, No,500000,1300000,8,471,500000,300000,1500000,700000,Rejected,3000000,0.3846153846153846,300-499,10L-50L,5-10
883,883,883,884,0,Graduate, Yes,9000000,32400000,10,895,16800000,5800000,20700000,9500000,Approved,52800000,0.2777777777777778,800-900,250L-10C,5-10
884,884,884,885,1,Not Graduate, Yes,5100000,20300000,18,757,11800000,3400000,13400000,3200000,Approved,31800000,0.2512315270935961,700-799,250L-10C,15-20
885,885,885,886,2,Graduate, No,5200000,13500000,2,777,7000000,5200000,15500000,6100000,Approved,33800000,0.3851851851851852,700-799,250L-10C,0-5
886,886,886,887,5,Not Graduate, Yes,4400000,8900000,4,761,8100000,1000000,14200000,3000000,Approved,26300000,0.4943820224719101,700-799,250L-10C,0-5
887,887,887,888,1,Graduate, No,1900000,4200000,12,821,5200000,1500000,5000000,2700000,Approved,14400000,0.4523809523809524,800-900,100L-250L,10-15
888,888,888,889,4,Not Graduate, Yes,9200000,26500000,6,662,1000000,400000,26900000,5300000,Approved,33600000,0.3471698113207547,600-699,250L-10C,5-10
889,889,889,890,2,Not Graduate, Yes,4800000,16500000,10,350,2000000,6500000,11400000,2900000,Rejected,22800000,0.2909090909090909,300-499,100L-250L,5-10
890,890,890,891,4,Not Graduate, No,4900000,10700000,20,321,1200000,400000,11100000,6500000,Rejected,19200000,0.4579439252336448,300-499,100L-250L,15-20
891,891,891,892,3,Graduate, Yes,4800000,10100000,4,368,9100000,5100000,16500000,3500000,Rejected,34200000,0.4752475247524752,300-499,250L-10C,0-5
892,892,892,893,4,Graduate, No,9300000,24900000,14,455,27600000,4700000,35100000,13900000,Rejected,81300000,0.3734939759036144,300-499,250L-10C,10-15
893,893,893,894,5,Not Graduate, Yes,7500000,24600000,8,744,1600000,3600000,16700000,9300000,Approved,31200000,0.3048780487804878,700-799,250L-10C,5-10
894,894,894,895,1,Graduate, No,5900000,16800000,4,806,11200000,9700000,22800000,7100000,Approved,50800000,0.3511904761904761,800-900,250L-10C,0-5
895,895,895,896,0,Graduate, No,9400000,27900000,6,456,21400000,18500000,35600000,7800000,Rejected,83300000,0.3369175627240143,300-499,250L-10C,5-10
896,896,896,897,5,Graduate, No,5300000,13400000,8,719,1600000,200000,11400000,5300000,Approved,18500000,0.3955223880597014,700-799,100L-250L,5-10
897,897,897,898,4,Graduate, No,3700000,9000000,18,668,7800000,1600000,13400000,3100000,Approved,25900000,0.4111111111111111,600-699,250L-10C,15-20
898,898,898,899,0,Graduate, Yes,2500000,5800000,18,494,5100000,4400000,8500000,2300000,Rejected,20300000,0.4310344827586206,300-499,100L-250L,15-20
899,899,899,900,4,Not Graduate, No,2800000,10800000,2,841,700000,2600000,7100000,4100000,Approved,14500000,0.2592592592592592,800-900,100L-250L,0-5
900,900,900,901,0,Graduate, Yes,5400000,21400000,8,721,8200000,6400000,16700000,7400000,Approved,38700000,0.2523364485981308,700-799,250L-10C,5-10
901,901,901,902,5,Graduate, No,3100000,9400000,10,414,200000,5300000,8000000,2800000,Rejected,16300000,0.3297872340425531,300-499,100L-250L,5-10
902,902,902,903,5,Not Graduate, No,4800000,15500000,10,812,9500000,1500000,17800000,3500000,Approved,32300000,0.3096774193548387,800-900,250L-10C,5-10
903,903,903,904,1,Not Graduate, No,8800000,17500000,20,832,1800000,3600000,24000000,7400000,Approved,36800000,0.5028571428571429,800-900,250L-10C,15-20
904,904,904,905,2,Graduate, No,4100000,14900000,12,571,-100000,5200000,13000000,3400000,Approved,21500000,0.2751677852348993,500-599,100L-250L,10-15
905,905,905,906,5,Not Graduate, No,9700000,37000000,14,459,28700000,17900000,22800000,5600000,Rejected,75000000,0.2621621621621621,300-499,250L-10C,10-15
906,906,906,907,2,Graduate, Yes,6400000,24100000,6,592,2500000,6300000,20200000,6000000,Approved,35000000,0.2655601659751037,500-599,250L-10C,5-10
907,907,907,908,5,Graduate, No,3400000,13100000,20,527,900000,4500000,8600000,4000000,Rejected,18000000,0.2595419847328244,500-599,100L-250L,15-20
908,908,908,909,4,Not Graduate, No,3500000,10200000,12,333,7600000,6400000,8100000,3400000,Rejected,25500000,0.3431372549019608,300-499,250L-10C,10-15
909,909,909,910,3,Not Graduate, No,3200000,10000000,18,532,3300000,100000,9800000,2100000,Rejected,15300000,0.32,500-599,100L-250L,15-20
910,910,910,911,2,Graduate, Yes,4900000,13100000,18,754,8200000,3300000,16500000,7200000,Approved,35200000,0.3740458015267175,700-799,250L-10C,15-20
911,911,911,912,0,Graduate, Yes,1300000,4800000,4,835,500000,100000,3300000,800000,Rejected,4700000,0.2708333333333333,800-900,10L-50L,0-5
912,912,912,913,4,Graduate, No,2500000,5400000,10,592,3400000,1500000,9900000,2900000,Approved,17700000,0.4629629629629629,500-599,100L-250L,5-10
913,913,913,914,0,Graduate, No,7500000,27300000,20,553,11600000,2800000,26200000,6100000,Approved,46700000,0.2747252747252747,500-599,250L-10C,15-20
914,914,914,915,2,Graduate, No,700000,2000000,8,806,1900000,1100000,2200000,400000,Approved,5600000,0.35,800-900,50L-100L,5-10
915,915,915,916,4,Graduate, Yes,8200000,28500000,2,378,6800000,11200000,26400000,11500000,Approved,55900000,0.287719298245614,300-499,250L-10C,0-5
916,916,916,917,1,Not Graduate, No,6900000,26200000,4,534,14500000,11900000,14900000,9400000,Approved,50700000,0.2633587786259542,500-599,250L-10C,0-5
917,917,917,918,1,Not Graduate, Yes,1500000,5900000,16,400,4200000,2400000,4800000,1500000,Rejected,12900000,0.2542372881355932,300-499,100L-250L,15-20
918,918,918,919,3,Graduate, No,6300000,18300000,18,543,1800000,9400000,17700000,3500000,Rejected,32400000,0.3442622950819672,500-599,250L-10C,15-20
919,919,919,920,0,Not Graduate, Yes,8800000,25600000,10,715,25300000,2500000,34900000,8600000,Approved,71300000,0.34375,700-799,250L-10C,5-10
920,920,920,921,4,Graduate, Yes,8900000,20700000,6,684,1100000,9200000,20400000,6700000,Approved,37400000,0.429951690821256,600-699,250L-10C,5-10
921,921,921,922,3,Not Graduate, Yes,2100000,6100000,8,346,5500000,600000,4500000,2900000,Rejected,13500000,0.3442622950819672,300-499,100L-250L,5-10
922,922,922,923,1,Graduate, Yes,9200000,29200000,6,669,9900000,12900000,23400000,11700000,Approved,57900000,0.3150684931506849,600-699,250L-10C,5-10
923,923,923,924,2,Not Graduate, No,3600000,8000000,12,566,10500000,3000000,8900000,2700000,Approved,25100000,0.45,500-599,250L-10C,10-15
924,924,924,925,0,Not Graduate, Yes,8600000,23600000,2,361,25800000,5300000,24700000,7500000,Rejected,63300000,0.3644067796610169,300-499,250L-10C,0-5
925,925,925,926,5,Graduate, No,3000000,8000000,6,333,3200000,400000,8200000,2200000,Rejected,14000000,0.375,300-499,100L-250L,5-10
926,926,926,927,3,Not Graduate, Yes,5200000,16300000,8,335,9500000,7000000,13600000,7300000,Rejected,37400000,0.3190184049079754,300-499,250L-10C,5-10
927,927,927,928,3,Graduate, Yes,7200000,20400000,10,558,0,13200000,27200000,10600000,Approved,51000000,0.3529411764705882,500-599,250L-10C,5-10
928,928,928,929,1,Not Graduate, Yes,4000000,15600000,12,436,10400000,2800000,14800000,3200000,Rejected,31200000,0.2564102564102564,300-499,250L-10C,10-15
929,929,929,930,1,Not Graduate, No,2400000,5200000,2,371,6100000,3100000,8500000,1400000,Rejected,19100000,0.4615384615384615,300-499,100L-250L,0-5
930,930,930,931,2,Not Graduate, Yes,5500000,18400000,10,515,6800000,4400000,18500000,4100000,Rejected,33800000,0.2989130434782608,500-599,250L-10C,5-10
931,931,931,932,0,Not Graduate, Yes,9000000,24300000,10,599,12900000,3400000,26900000,6400000,Approved,49600000,0.3703703703703703,500-599,250L-10C,5-10
932,932,932,933,0,Not Graduate, Yes,7900000,24000000,20,728,18600000,15600000,21800000,7400000,Approved,63400000,0.3291666666666666,700-799,250L-10C,15-20
933,933,933,934,2,Not Graduate, Yes,6200000,21600000,20,679,18600000,2500000,24500000,9100000,Approved,54700000,0.287037037037037,600-699,250L-10C,15-20
934,934,934,935,3,Graduate, Yes,7900000,29200000,4,399,23200000,5500000,30200000,6900000,Approved,65800000,0.2705479452054795,300-499,250L-10C,0-5
935,935,935,936,3,Not Graduate, No,1200000,4500000,6,819,1400000,1100000,4400000,900000,Approved,7800000,0.2666666666666666,800-900,50L-100L,5-10
936,936,936,937,1,Graduate, No,4700000,11700000,6,308,11800000,1100000,15100000,3700000,Rejected,31700000,0.4017094017094017,300-499,250L-10C,5-10
937,937,937,938,5,Graduate, Yes,5900000,15600000,2,730,12600000,4700000,15900000,5900000,Approved,39100000,0.3782051282051282,700-799,250L-10C,0-5
938,938,938,939,4,Not Graduate, Yes,1400000,5100000,14,312,4000000,1000000,3200000,1400000,Rejected,9600000,0.2745098039215686,300-499,50L-100L,10-15
939,939,939,940,3,Not Graduate, Yes,4700000,12800000,16,740,2200000,8600000,11700000,6100000,Approved,28600000,0.3671875,700-799,250L-10C,15-20
940,940,940,941,5,Graduate, Yes,7600000,20000000,10,522,21500000,1400000,20400000,4300000,Rejected,47600000,0.38,500-599,250L-10C,5-10
941,941,941,942,4,Graduate, No,7200000,16900000,4,702,15900000,7100000,22000000,9600000,Approved,54600000,0.4260355029585799,700-799,250L-10C,0-5
942,942,942,943,4,Not Graduate, Yes,1400000,4300000,16,447,3600000,1200000,5300000,1000000,Rejected,11100000,0.3255813953488372,300-499,100L-250L,15-20
943,943,943,944,5,Graduate, No,1400000,2900000,4,829,800000,600000,5400000,1600000,Approved,8400000,0.4827586206896552,800-900,50L-100L,0-5
944,944,944,945,2,Graduate, No,7900000,18500000,18,727,20200000,12400000,19600000,7100000,Approved,59300000,0.427027027027027,700-799,250L-10C,15-20
945,945,945,946,5,Not Graduate, Yes,7600000,18700000,14,509,8500000,8500000,22200000,3700000,Rejected,42900000,0.4064171122994652,500-599,250L-10C,10-15
946,946,946,947,3,Graduate, Yes,9600000,34200000,2,745,2500000,2000000,33000000,6700000,Approved,44200000,0.2807017543859649,700-799,250L-10C,0-5
947,947,947,948,1,Not Graduate, No,2300000,6600000,18,513,4600000,900000,9000000,1600000,Rejected,16100000,0.3484848484848485,500-599,100L-250L,15-20
948,948,948,949,2,Not Graduate, No,8100000,18500000,6,372,19100000,10200000,31000000,7900000,Rejected,68200000,0.4378378378378378,300-499,250L-10C,5-10
949,949,949,950,2,Graduate, Yes,300000,700000,4,411,600000,0,1200000,100000,Rejected,1900000,0.4285714285714285,300-499,10L-50L,0-5
950,950,950,951,4,Graduate, No,4700000,10800000,20,495,11300000,6800000,17000000,4500000,Rejected,39600000,0.4351851851851852,300-499,250L-10C,15-20
951,951,951,952,5,Not Graduate, No,1100000,2500000,4,827,2400000,1000000,4100000,600000,Approved,8100000,0.44,800-900,50L-100L,0-5
952,952,952,953,4,Not Graduate, No,8600000,25100000,6,820,14400000,5000000,26000000,8300000,Approved,53700000,0.3426294820717131,800-900,250L-10C,5-10
953,953,953,954,5,Graduate, Yes,8700000,28100000,10,660,25500000,800000,25900000,10100000,Approved,62300000,0.3096085409252669,600-699,250L-10C,5-10
954,954,954,955,0,Not Graduate, No,2200000,8600000,4,563,900000,1000000,4400000,2800000,Approved,9100000,0.2558139534883721,500-599,50L-100L,0-5
955,955,955,956,1,Not Graduate, Yes,500000,1400000,10,883,900000,0,1700000,300000,Approved,2900000,0.3571428571428571,800-900,10L-50L,5-10
956,956,956,957,0,Not Graduate, Yes,9100000,22000000,12,387,25300000,15600000,31700000,7000000,Rejected,79600000,0.4136363636363636,300-499,250L-10C,10-15
957,957,957,958,1,Graduate, No,2200000,8700000,12,613,500000,1800000,5700000,2400000,Approved,10400000,0.2528735632183908,600-699,100L-250L,10-15
958,958,958,959,0,Not Graduate, Yes,2200000,8000000,14,335,2800000,3700000,6900000,2900000,Rejected,16300000,0.275,300-499,100L-250L,10-15
959,959,959,960,1,Graduate, Yes,9600000,34500000,2,795,9500000,900000,32000000,9300000,Approved,51700000,0.2782608695652174,700-799,250L-10C,0-5
960,960,960,961,1,Graduate, Yes,6500000,13900000,8,369,9600000,300000,17200000,8300000,Rejected,35400000,0.4676258992805755,300-499,250L-10C,5-10
961,961,961,962,4,Graduate, Yes,2400000,7400000,18,888,2700000,1600000,7600000,3200000,Approved,15100000,0.3243243243243243,800-900,100L-250L,15-20
962,962,962,963,4,Not Graduate, No,5500000,12300000,6,742,12900000,2700000,19800000,4300000,Approved,39700000,0.4471544715447154,700-799,250L-10C,5-10
963,963,963,964,0,Graduate, No,5000000,14400000,4,874,3000000,9300000,14100000,3900000,Approved,30300000,0.3472222222222222,800-900,250L-10C,0-5
964,964,964,965,1,Graduate, No,2700000,8100000,16,691,2000000,3600000,8100000,2100000,Approved,15800000,0.3333333333333333,600-699,100L-250L,15-20
965,965,965,966,3,Not Graduate, Yes,8500000,30300000,12,762,12700000,3700000,20000000,4200000,Approved,40600000,0.2805280528052805,700-799,250L-10C,10-15
966,966,966,967,1,Graduate, No,4400000,10700000,18,324,2200000,3300000,12700000,5400000,Rejected,23600000,0.411214953271028,300-499,100L-250L,15-20
967,967,967,968,4,Not Graduate, No,500000,1800000,20,777,900000,300000,1300000,200000,Approved,2700000,0.2777777777777778,700-799,10L-50L,15-20
968,968,968,969,0,Graduate, No,8300000,21400000,2,662,6100000,12300000,24500000,10200000,Approved,53100000,0.3878504672897196,600-699,250L-10C,0-5
969,969,969,970,2,Not Graduate, Yes,6000000,13000000,12,462,2100000,2500000,14600000,5600000,Rejected,24800000,0.4615384615384615,300-499,100L-250L,10-15
970,970,970,971,3,Not Graduate, Yes,4000000,10400000,14,609,2100000,6900000,11700000,4600000,Approved,25300000,0.3846153846153846,600-699,250L-10C,10-15
971,971,971,972,5,Graduate, Yes,4400000,11700000,20,590,900000,2700000,15500000,2300000,Approved,21400000,0.376068376068376,500-599,100L-250L,15-20
972,972,972,973,3,Graduate, Yes,4400000,15800000,18,779,7200000,5400000,14900000,3600000,Approved,31100000,0.2784810126582278,700-799,250L-10C,15-20
973,973,973,974,2,Graduate, Yes,1900000,5000000,14,641,1000000,900000,5500000,2400000,Approved,9800000,0.38,600-699,50L-100L,10-15
974,974,974,975,0,Graduate, Yes,5000000,18400000,12,752,14600000,4000000,10500000,6500000,Approved,35600000,0.2717391304347826,700-799,250L-10C,10-15
975,975,975,976,0,Graduate, No,8000000,23700000,10,305,22200000,11600000,17200000,12000000,Rejected,63000000,0.3375527426160337,300-499,250L-10C,5-10
976,976,976,977,4,Not Graduate, No,8200000,20700000,10,546,10800000,7000000,25000000,10600000,Rejected,53400000,0.3961352657004831,500-599,250L-10C,5-10
977,977,977,978,2,Graduate, No,7000000,24200000,8,833,13700000,4100000,26100000,9100000,Approved,53000000,0.2892561983471074,800-900,250L-10C,5-10
978,978,978,979,2,Not Graduate, No,2400000,8800000,18,421,3200000,1500000,6700000,1400000,Rejected,12800000,0.2727272727272727,300-499,100L-250L,15-20
979,979,979,980,5,Graduate, No,6600000,18800000,4,639,3200000,1100000,25100000,4300000,Approved,33700000,0.351063829787234,600-699,250L-10C,0-5
980,980,980,981,3,Graduate, No,3200000,6900000,20,735,1500000,3700000,9200000,3100000,Approved,17500000,0.463768115942029,700-799,100L-250L,15-20
981,981,981,982,0,Not Graduate, Yes,2600000,5400000,2,377,100000,4900000,6100000,2700000,Rejected,13800000,0.4814814814814814,300-499,100L-250L,0-5
982,982,982,983,3,Not Graduate, No,6900000,15600000,20,310,4500000,3600000,20400000,4800000,Rejected,33300000,0.4423076923076923,300-499,250L-10C,15-20
983,983,983,984,4,Graduate, No,4800000,14000000,2,695,11300000,1700000,15400000,4600000,Approved,33000000,0.3428571428571428,600-699,250L-10C,0-5
984,984,984,985,1,Not Graduate, Yes,300000,1200000,4,355,700000,300000,800000,200000,Approved,2000000,0.25,300-499,10L-50L,0-5
985,985,985,986,1,Not Graduate, Yes,4300000,14100000,12,525,2100000,1100000,14100000,5500000,Rejected,22800000,0.3049645390070922,500-599,100L-250L,10-15
986,986,986,987,5,Not Graduate, No,700000,2400000,20,330,1300000,700000,2500000,500000,Rejected,5000000,0.2916666666666667,300-499,50L-100L,15-20
987,987,987,988,5,Graduate, No,9400000,25800000,14,625,28200000,15400000,30800000,11100000,Approved,85500000,0.3643410852713178,600-699,250L-10C,10-15
988,988,988,989,3,Not Graduate, Yes,800000,2900000,10,644,600000,500000,2900000,400000,Approved,4400000,0.2758620689655172,600-699,10L-50L,5-10
989,989,989,990,5,Not Graduate, No,4400000,14900000,4,865,8200000,6200000,14900000,3500000,Approved,32800000,0.2953020134228188,800-900,250L-10C,0-5
990,990,990,991,1,Graduate, Yes,4700000,14800000,6,661,8500000,6000000,13600000,6400000,Approved,34500000,0.3175675675675675,600-699,250L-10C,5-10
991,991,991,992,2,Not Graduate, No,2300000,5000000,8,884,1400000,1700000,6100000,1500000,Approved,10700000,0.46,800-900,100L-250L,5-10
992,992,992,993,5,Graduate, Yes,8500000,26700000,10,803,500000,16600000,24400000,9600000,Approved,51100000,0.3183520599250936,800-900,250L-10C,5-10
993,993,993,994,2,Graduate, No,7600000,28300000,12,800,19700000,14800000,15600000,7800000,Approved,57900000,0.2685512367491166,800-900,250L-10C,10-15
994,994,994,995,2,Graduate, No,3200000,12600000,18,796,6200000,3500000,9600000,2000000,Approved,21300000,0.2539682539682539,700-799,100L-250L,15-20
995,995,995,996,4,Not Graduate, No,2400000,5000000,4,716,1500000,2800000,6900000,1400000,Approved,12600000,0.48,700-799,100L-250L,0-5
996,996,996,997,0,Graduate, Yes,500000,1100000,18,479,1500000,500000,1800000,600000,Rejected,4400000,0.4545454545454545,300-499,10L-50L,15-20
997,997,997,998,3,Not Graduate, Yes,8500000,28300000,2,810,25200000,4300000,18500000,10700000,Approved,58700000,0.3003533568904594,800-900,250L-10C,0-5
998,998,998,999,0,Graduate, Yes,8900000,20900000,18,568,18800000,700000,32700000,5300000,Approved,57500000,0.4258373205741627,500-599,250L-10C,15-20
999,999,999,1000,0,Graduate, No,2800000,5600000,8,842,0,1300000,6100000,1900000,Approved,9300000,0.5,800-900,50L-100L,5-10
1000,1000,1000,1001,3,Not Graduate, Yes,2900000,7000000,4,806,5700000,5600000,5900000,3000000,Approved,20200000,0.4142857142857143,800-900,100L-250L,0-5
1001,1001,1001,1002,1,Graduate, Yes,4900000,17700000,8,722,9200000,7300000,16400000,3000000,Approved,35900000,0.2768361581920904,700-799,250L-10C,5-10
1002,1002,1002,1003,5,Not Graduate, No,9600000,20700000,14,442,25800000,9800000,31800000,8200000,Rejected,75600000,0.463768115942029,300-499,250L-10C,10-15
1003,1003,1003,1004,3,Graduate, Yes,3300000,9800000,6,360,4500000,600000,11000000,4400000,Rejected,20500000,0.336734693877551,300-499,100L-250L,5-10
1004,1004,1004,1005,3,Not Graduate, No,2800000,5900000,4,461,1600000,400000,8900000,2800000,Rejected,13700000,0.4745762711864407,300-499,100L-250L,0-5
1005,1005,1005,1006,2,Graduate, No,7800000,22200000,10,735,9700000,4600000,23000000,6900000,Approved,44200000,0.3513513513513513,700-799,250L-10C,5-10
1006,1006,1006,1007,4,Graduate, Yes,2500000,8400000,12,761,6300000,1300000,8400000,1600000,Approved,17600000,0.2976190476190476,700-799,100L-250L,10-15
1007,1007,1007,1008,0,Graduate, No,4400000,10600000,20,653,6800000,4600000,16800000,5400000,Approved,33600000,0.4150943396226415,600-699,250L-10C,15-20
1008,1008,1008,1009,0,Not Graduate, No,7900000,30800000,4,726,5000000,14600000,23800000,5500000,Approved,48900000,0.2564935064935065,700-799,250L-10C,0-5
1009,1009,1009,1010,1,Graduate, No,8900000,22600000,18,617,8400000,15500000,27900000,11700000,Approved,63500000,0.3938053097345133,600-699,250L-10C,15-20
1010,1010,1010,1011,0,Graduate, No,5600000,13400000,2,460,3400000,4100000,14800000,4100000,Rejected,26400000,0.417910447761194,300-499,250L-10C,0-5
1011,1011,1011,1012,1,Not Graduate, No,1400000,3300000,8,306,3200000,800000,2700000,800000,Rejected,7500000,0.4242424242424242,300-499,50L-100L,5-10
1012,1012,1012,1013,5,Graduate, Yes,500000,1400000,4,471,500000,100000,1300000,300000,Rejected,2200000,0.3571428571428571,300-499,10L-50L,0-5
1013,1013,1013,1014,1,Graduate, Yes,5100000,15300000,4,628,6900000,3300000,17600000,2700000,Approved,30500000,0.3333333333333333,600-699,250L-10C,0-5
1014,1014,1014,1015,3,Graduate, No,9800000,25600000,10,404,24400000,6700000,37000000,11500000,Rejected,79600000,0.3828125,300-499,250L-10C,5-10
1015,1015,1015,1016,2,Graduate, Yes,8600000,21600000,16,804,15400000,300000,26800000,7100000,Approved,49600000,0.3981481481481481,800-900,250L-10C,15-20
1016,1016,1016,1017,3,Not Graduate, No,1600000,3900000,20,804,900000,2500000,3200000,800000,Approved,7400000,0.4102564102564102,800-900,50L-100L,15-20
1017,1017,1017,1018,1,Not Graduate, Yes,2500000,6700000,2,502,3400000,2600000,9400000,1400000,Rejected,16800000,0.373134328358209,500-599,100L-250L,0-5
1018,1018,1018,1019,0,Graduate, No,9500000,22600000,6,861,24700000,13200000,29000000,5600000,Approved,72500000,0.4203539823008849,800-900,250L-10C,5-10
1019,1019,1019,1020,2,Not Graduate, Yes,3000000,7800000,14,555,6600000,2700000,9600000,1700000,Approved,20600000,0.3846153846153846,500-599,100L-250L,10-15
1020,1020,1020,1021,0,Not Graduate, No,5100000,13600000,18,351,1700000,3700000,14400000,7600000,Rejected,27400000,0.375,300-499,250L-10C,15-20
1021,1021,1021,1022,2,Not Graduate, Yes,7600000,23600000,6,358,20200000,2900000,22100000,10900000,Rejected,56100000,0.3220338983050847,300-499,250L-10C,5-10
1022,1022,1022,1023,5,Graduate, No,8800000,18800000,14,836,17300000,10100000,32700000,5400000,Approved,65500000,0.4680851063829787,800-900,250L-10C,10-15
1023,1023,1023,1024,4,Not Graduate, Yes,1100000,2900000,4,554,2800000,1000000,4100000,1600000,Approved,9500000,0.3793103448275862,500-599,50L-100L,0-5
